date_seen,store,label,bale_weight_lbs,
8/16/18,8,73,1085,
8/16/18,8,74,1085,
8/16/18,8,77,1201,
8/16/18,8,78,1002,
8/16/18,54,460,810,
8/16/18,212,361,1094,
8/16/18,212,362,962,
8/16/18,55,79,968,
8/16/18,55,80,916,
8/16/18,56,386,1050,
8/16/18,56,387,950,
8/16/18,56,388,1100,
8/16/18,56,389,913,
8/16/18,56,390,998,
8/16/18,57,174,1059,
8/16/18,57,175,1069,
8/16/18,57,176,1121,
8/16/18,57,177,741,
8/16/18,57,178,1029,
8/16/18,57,179,999,
8/16/18,57,180,954,
8/16/18,57,182,960,
8/16/18,57,183,960,
8/16/18,57,184,960,
8/16/18,59,338,890,
8/16/18,59,339,1065,
8/17/18,1,223,1011,
8/17/18,1,225,934,
8/17/18,13,482,794,
8/17/18,13,483,820,
8/17/18,13,497,918,
8/17/18,13,498,972,
8/17/18,13,499,897,
8/17/18,13,500,895,
8/17/18,15,281,797,
8/17/18,16,197,794,
8/17/18,16,198,923,
8/17/18,16,258,1206,
8/17/18,16,262,1182,
8/17/18,190,294,945,
8/17/18,190,295,310,
8/17/18,191,55,957,
8/17/18,192,163,1032,
8/17/18,192,164,1050,
8/17/18,193,377,1142,
8/17/18,194,286,428,
8/17/18,194,287,436,
8/17/18,194,288,592,
8/17/18,194,289,592,
8/17/18,196,145,929,
8/17/18,196,150,887,
8/17/18,203,399,1095,
8/17/18,204,44,810,
8/17/18,205,206,645,
8/17/18,207,99,936,
8/17/18,208,450,1033,
8/17/18,208,451,913,
8/17/18,19,32,946,
8/17/18,21,263,718,
8/17/18,22,227,1126,
8/17/18,3,262,839,
8/17/18,3,267,928,
8/17/18,3,268,891,
8/17/18,3,269,929,
8/17/18,63,193,1037,
8/17/18,63,194,970,
8/17/18,63,195,931,
8/17/18,64,432,1052,
8/17/18,64,433,1062,
8/17/18,64,435,993,
8/17/18,64,437,958,
8/17/18,64,441,1129,
8/17/18,64,442,1137,
8/17/18,65,92,968,
8/17/18,66,37,918,
8/17/18,66,38,891,
8/17/18,66,40,1023,
8/17/18,66,41,944,
8/17/18,66,42,1009,
8/17/18,69,461,993,
8/17/18,69,233,935,
8/17/18,70,209,868,
8/17/18,70,210,1031,
8/17/18,71,243,1050,
8/17/18,73,103,632,
8/17/18,73,104,602,
8/17/18,73,106,651,
8/17/18,73,107,684,
8/17/18,75,222,913,
8/17/18,75,223,981,
8/17/18,28,392,1212,
8/17/18,28,393,998,
8/17/18,28,394,1033,
8/17/18,88,247,886,
8/17/18,88,248,765,
8/17/18,89,476,1061,
8/17/18,89,477,957,
8/17/18,89,478,965,
8/17/18,89,479,957,
8/17/18,89,482,1154,
8/17/18,89,483,1065,
8/17/18,89,484,989,
8/17/18,90,34,1172,
8/17/18,90,35,1095,
8/17/18,91,457,1026,
8/17/18,91,458,1067,
8/17/18,91,459,1022,
8/17/18,92,97,1077,
8/17/18,94,283,958,
8/17/18,94,284,1068,
8/17/18,94,285,1020,
8/17/18,94,286,1033,
8/17/18,94,287,1299,
8/17/18,95,265,1001,
8/17/18,95,266,1048,
8/17/18,95,267,771,
8/17/18,97,223,921,
8/17/18,97,224,1029,
8/17/18,97,225,944,
8/17/18,97,226,996,
8/17/18,97,227,939,
8/17/18,97,228,902,
8/17/18,97,229,1043,
8/17/18,97,230,848,
8/17/18,97,231,960,
8/17/18,97,240,986,
8/17/18,97,241,1005,
8/17/18,97,242,950,
8/17/18,98,15,1020,
8/17/18,100,157,1040,
